Date,equal_weight,classical_markowitz,robust_markowitz
2021-12-30,1.627229647073901,1.3763966305977031,1.0612480279841723
2021-12-31,1.6260029340673443,1.3718915856537675,1.0597830569119264
2022-01-03,1.6308081234852472,1.377735970299144,1.055712393955816
2022-01-04,1.634374212863885,1.3798586919565239,1.0578416343137549
2022-01-05,1.6134809551283422,1.353804446964875,1.04888823822417
2022-01-06,1.6154663566562044,1.3546413418407723,1.048436024340349
2022-01-07,1.6149465050186593,1.3414312267034014,1.045433392209377
2022-01-10,1.6109775049616712,1.3403789191081883,1.045366426043702
2022-01-11,1.6276643581413823,1.3564016074299805,1.0520602133487809
2022-01-12,1.6356793281028923,1.358065442549594,1.0507344648688421
2022-01-13,1.6224332376087385,1.343076240964952,1.0482966882613152
2022-01-14,1.6227216172148078,1.34239628405151,1.0443953047323278
2022-01-18,1.601067484119175,1.316520876743836,1.0348527907445086
2022-01-19,1.5957639625203912,1.3058852648990649,1.0348721132138416
2022-01-20,1.5837763365967126,1.2863256867114727,1.0300053715342004
2022-01-21,1.5669128017202676,1.2684732181590237,1.0267837386252525
2022-01-24,1.567388179327445,1.2799567113995836,1.029202264864942
2022-01-25,1.5601314637815495,1.2651660784109857,1.0263291875893614
2022-01-26,1.550788015741094,1.2577798962026978,1.0197865655721872
2022-01-27,1.5420668977788512,1.2439117406720466,1.018539685364606
2022-01-28,1.5594081956462942,1.2670313083996638,1.026097811105676
2022-01-31,1.5837218247898117,1.2969218701152874,1.034711878287557
2022-02-01,1.5936100081300444,1.3043644054115087,1.0369586533983364
2022-02-02,1.5999565261769537,1.3088641650434902,1.037168537596244
2022-02-03,1.579542852914542,1.2817716202872644,1.0280454386153954
2022-02-04,1.580379963664555,1.2811675790736632,1.0250788748934403
2022-02-07,1.580797786787997,1.2827136218757424,1.027689360425752
2022-02-08,1.5896588203419324,1.2972134400770692,1.0303094200597416
2022-02-09,1.6091193573515068,1.3189127000199903,1.037259955965531
2022-02-10,1.5887756012263863,1.293275364443646,1.0262596802115984
2022-02-11,1.576897888901066,1.2709510355706972,1.026911133219722
2022-02-14,1.569464986416302,1.2646802282409486,1.0210526456850275
2022-02-15,1.5880213507846666,1.2896928477191087,1.0240246421860897
2022-02-16,1.593054726159666,1.2919032507326154,1.0269463011799251
2022-02-17,1.5744729117570024,1.2670688540911312,1.022418307021104
2022-02-18,1.5680218113370414,1.2628282893003167,1.0241126632214954
2022-02-22,1.5560831648387141,1.2497543506625948,1.021848028552043
2022-02-23,1.5410637802155334,1.2309918243948634,1.0158550589512239
2022-02-24,1.5447196046811313,1.2458944860268002,1.017123480864564
2022-02-25,1.5702216794332238,1.2650409122015882,1.0223277964550823
2022-02-28,1.5681257327027083,1.269459833941057,1.0324153716909457
2022-03-01,1.5567990905848097,1.254800041022245,1.035135291990229
