strategy,gamma,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover,final_portfolio_value,rho,cov_uncertainty
robust_markowitz,20.0,0.14768327174713725,0.015910526159272687,0.09976433227940193,0.15948110708257293,-0.25014407806431216,0.5287836377029407,1.1476832717471372,0.25,0.05
robust_markowitz,20.0,0.14801500378215526,0.015944172711377158,0.09912910165768944,0.16084250179564064,-0.24970928927794978,0.5251716161193605,1.1480150037821553,0.25,0.1
robust_markowitz,20.0,0.14848818450576506,0.01599215107182972,0.09856144177612708,0.16225565275469858,-0.24881745393667387,0.5219037622914362,1.148488184505765,0.25,0.15
robust_markowitz,20.0,0.1478204082427561,0.015924436532898323,0.09793821145279326,0.1625967668459413,-0.2480003086340099,0.5189614678929727,1.147820408242756,0.25,0.2
robust_markowitz,20.0,0.12352152927160565,0.013436412000053854,0.08940995457403182,0.15027870290358383,-0.2450351523036567,0.48124841843838506,1.1235215292716056,0.5,0.05
robust_markowitz,20.0,0.12288383934679992,0.01337047804587388,0.0887779522005289,0.15060583978861164,-0.24438576663669653,0.47791505105025217,1.1228838393468,0.5,0.1
robust_markowitz,20.0,0.12151714782874046,0.013229057225841112,0.08821664678547007,0.14996100745035384,-0.2434626611663373,0.4738004107334284,1.1215171478287405,0.5,0.15
robust_markowitz,20.0,0.12123182986915038,0.013199514194443651,0.08767975782792753,0.15054232038765253,-0.2425275535832898,0.4704819490764018,1.1212318298691504,0.5,0.2
robust_markowitz,20.0,0.13538659047192758,0.014657195540970669,0.07837875423270836,0.18700470152221496,-0.2198836837369771,0.4265490659529299,1.1353865904719276,0.75,0.05
robust_markowitz,20.0,0.13689478441031655,0.014811561958943287,0.07779260858279513,0.1903980626023005,-0.21886252603109246,0.4226396730695497,1.1368947844103166,0.75,0.1
robust_markowitz,20.0,0.13725475324970526,0.014848378627215553,0.07723415553503939,0.19225145305666194,-0.21767690338140022,0.41944506065109216,1.1372547532497053,0.75,0.15
robust_markowitz,20.0,0.13682934608215747,0.01480486798980385,0.0767412376511165,0.19291932789916968,-0.21633207392044207,0.41635385384123735,1.1368293460821575,0.75,0.2
robust_markowitz,20.0,0.1561173339460602,0.016763305820230334,0.06688311848824474,0.25063582857872607,-0.18244801919115283,0.35451742176687784,1.1561173339460602,1.0,0.05
robust_markowitz,20.0,0.15518238037210286,0.016669043344151646,0.06639645057575747,0.251053229496545,-0.18191864625770982,0.3500061275403527,1.1551823803721029,1.0,0.1
robust_markowitz,20.0,0.1531766220308015,0.01646659369585901,0.06595394535938805,0.24966806164712807,-0.18150163335255232,0.3477183071401618,1.1531766220308015,1.0,0.15
robust_markowitz,20.0,0.15161668668908446,0.01630892720122401,0.0655342198891089,0.24886123965190257,-0.1806543386229419,0.3460212568527547,1.1516166866890845,1.0,0.2
robust_markowitz,20.0,0.17341175801305764,0.01849487824414453,0.050357568061535844,0.36727107674350346,-0.14038549962521008,0.2575489515111294,1.1734117580130576,1.5,0.05
robust_markowitz,20.0,0.17432966159664187,0.018586148746417175,0.05007417339765515,0.371172352638127,-0.14007047574316212,0.255021675293204,1.1743296615966419,1.5,0.1
robust_markowitz,20.0,0.17380042807657525,0.018533532840421252,0.049800324124543265,0.37215687179207146,-0.14000169858109524,0.2533677585230125,1.1738004280765753,1.5,0.15
robust_markowitz,20.0,0.17287940353284448,0.018441915329083347,0.04956186615997683,0.37209888888275805,-0.13991072717039144,0.2519324680966539,1.1728794035328445,1.5,0.2
robust_markowitz,30.0,0.1116694333705357,0.012205512686769726,0.07970340731255914,0.15313664871196117,-0.22328440684877326,0.4702107913069611,1.1116694333705357,0.25,0.05
robust_markowitz,30.0,0.11197662794251295,0.012237562740333718,0.07908316606881588,0.15474295414127637,-0.22216831848167196,0.46717072863065834,1.111976627942513,0.25,0.1
robust_markowitz,30.0,0.11412498577144126,0.012461485149214635,0.0785238399083276,0.15869683861312378,-0.22053494266037954,0.4632950709819875,1.1141249857714413,0.25,0.15
robust_markowitz,30.0,0.11698735835562557,0.012759235740966268,0.07798455063798661,0.16361235189000614,-0.21878517225971594,0.45863833768255524,1.1169873583556256,0.25,0.2
robust_markowitz,30.0,0.13160225435515494,0.014269061001680461,0.07031824580495499,0.20292117413251778,-0.19848547039526854,0.41610852754799393,1.131602254355155,0.5,0.05
robust_markowitz,30.0,0.13097658761035103,0.014204779785586208,0.06983975601032567,0.20339102822017388,-0.19737697033037693,0.4125849648126111,1.130976587610351,0.5,0.1
