universe,threshold,model,status,completed_dates,average_asset_count,average_cluster_count,median_condition_number,median_effective_rank,average_security_level_l1_change,average_cluster_exposure_l1_change,bootstrap_weight_sensitivity,net_annualized_return,realized_volatility,provisional_zero_rf_sharpe,recurring_one_way_turnover,cost_drag_final_wealth,bootstrap_weight_sensitivity_status,universe_ablation_weight_change,gross_final_wealth,net_final_wealth,gross_cumulative_return,net_cumulative_return,gross_annualized_return,max_drawdown,recurring_gross_traded_fraction,total_gross_traded_fraction,initial_one_way_turnover,total_transaction_cost,average_effective_holdings
CLUSTER_MEDOID,0.9,box,COMPLETED,31,62.87096774193548,62.87096774193548,56190.90729096636,11.030915025202493,0.9938941115532771,0.7608495147956122,,0.013096734448289293,0.06064450364280771,0.24494315735610975,0.2868607295885728,0.01011627372375834,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.9938941115532771,1.11598836480358,1.1058720910798217,0.11598836480357999,0.10587209107982165,0.014290261044864083,-0.17639098342489812,0.5737214591771456,18.211643775314368,0.49999999999999994,0.00908640397403255,10.027509380781783
FULL,0.9,box,COMPLETED,31,147.0,62.87096774193548,293767.69364197494,8.996323217943148,0.0,0.0,0.6488179253758443,0.00259274340202,0.0760838680147133,0.0721213115864997,0.2488861640652706,0.0081607729201766,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.9,box_diagonal,INCOMPLETE_FAILED_SOLVES,29,62.87096774193548,62.87096774193548,56190.90729096636,11.030915025202493,1.003515309480957,0.7525417576974264,,,,,,,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,1.003515309480957,,,,,,,,,,,
FULL,0.9,box_diagonal,COMPLETED,31,147.0,62.87096774193548,293767.69364197494,8.996323217943148,0.0,0.0,0.5520724195644288,0.0099481126271885,0.0620955530405185,0.1904980024575985,0.2290335527475021,0.0079871574846974,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.9,ellipsoid,COMPLETED,31,62.87096774193548,62.87096774193548,56190.90729096636,11.030915025202493,0.9090801299960568,0.6804725115407045,,0.02791589319549148,0.04616464032730285,0.619569506914094,0.21606091134739996,0.008668922436924742,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.9090801299960568,1.2459872610786942,1.2373183386417694,0.24598726107869417,0.23731833864176943,0.028844237400584172,-0.11281714695139222,0.43212182269479993,13.963654680843998,0.5,0.007417555488861233,11.18503866811366
FULL,0.9,ellipsoid,COMPLETED,31,147.0,62.87096774193548,293767.69364197494,8.996323217943148,0.0,0.0,0.17435935176817793,0.0283226191349759,0.0357949719336027,0.7981928941474499,0.1381275573694181,0.0057766907607241,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.9,gmv,COMPLETED,31,62.87096774193548,62.87096774193548,56190.90729096636,11.030915025202493,0.8563722468211654,0.594816855683875,,0.01792288946943077,0.04596944827221777,0.40952891541107567,0.2454687958086472,0.009057331964596793,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.8563722468211654,1.1563332120942111,1.1472758801296143,0.15633321209421114,0.14727588012961434,0.018958384739182765,-0.13062701806963206,0.4909375916172944,15.728127748518828,0.5,0.00816272706205452,11.160032277161937
FULL,0.9,gmv,COMPLETED,31,147.0,62.87096774193548,293767.69364197494,8.996323217943148,0.0,0.0,,0.0187519860198155,0.0339513754499636,0.5642360920804053,0.144603724705147,0.0055991845945557,NOT_ESTIMATED,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.9,nominal,COMPLETED,31,62.87096774193548,62.87096774193548,56190.90729096636,11.030915025202493,0.9697737976844604,0.6884598930709527,,0.023134560635781343,0.15186804538483237,0.22737851604167272,0.41314982536515094,0.015489160663314516,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.9697737976844604,1.2089857675148763,1.1934966068515618,0.2089857675148763,0.19349660685156178,0.02484177173728308,-0.3569586849058597,0.8262996507303019,25.788989521909052,0.49999999999999994,0.011341157600359766,10.83400624986894
FULL,0.9,nominal,COMPLETED,31,147.0,62.87096774193548,293767.69364197494,8.996323217943148,0.0,0.0,1.156310959419118,0.013415678729991,0.1599633886314129,0.1639223608438092,0.4748447966988299,0.0164674565614499,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.95,box,COMPLETED,31,82.70967741935483,82.70967741935483,137145.00851087,10.828701441259271,0.6778335211823215,0.6017717543313819,,0.01280730585279155,0.0658192061257407,0.22629360539466373,0.22671920793423778,0.008086392775597195,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.6778335211823215,1.1115173646598373,1.10343097188424,0.1115173646598373,0.10343097188424011,0.013763935212711909,-0.18121757420570495,0.45343841586847555,14.603152476054268,0.4999999999999999,0.007304557060571841,10.056087413886866
FULL,0.95,box,COMPLETED,31,147.0,82.70967741935483,293767.69364197494,8.996323217943148,0.0,0.0,0.6488179253758443,0.00259274340202,0.0760838680147133,0.0721213115864997,0.2488861640652706,0.0081607729201766,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.95,box_diagonal,COMPLETED,31,82.70967741935483,82.70967741935483,137145.00851087,10.828701441259271,0.6803343086753817,0.5848399781282476,,0.01694866380721982,0.05918743127650813,0.3135771054060309,0.23002846608868055,0.00845942914126585,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.6803343086753817,1.1472703547643113,1.1388109256230454,0.14727035476431127,0.13881092562304542,0.01792225560318572,-0.14770723187700663,0.4600569321773611,14.801707965320833,0.5,0.0074721966550374865,10.646790972865684
FULL,0.95,box_diagonal,COMPLETED,31,147.0,82.70967741935483,293767.69364197494,8.996323217943148,0.0,0.0,0.5520724195644288,0.0099481126271885,0.0620955530405185,0.1904980024575985,0.2290335527475021,0.0079871574846974,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.95,ellipsoid,COMPLETED,31,82.70967741935483,82.70967741935483,137145.00851087,10.828701441259271,0.6050481235870326,0.495185876170925,,0.02708322789214046,0.039495008902839135,0.6964015692809089,0.1642477849328468,0.006691658119787558,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.6050481235870326,1.236279252305791,1.2295875941860035,0.23627925230579105,0.2295875941860035,0.027804238934758585,-0.10377752418713959,0.3284955698656936,10.854867095970809,0.49999999999999994,0.005823706706115107,11.12245407046323
FULL,0.95,ellipsoid,COMPLETED,31,147.0,82.70967741935483,293767.69364197494,8.996323217943148,0.0,0.0,0.17435935176817793,0.0283226191349759,0.0357949719336027,0.7981928941474499,0.1381275573694181,0.0057766907607241,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.95,gmv,COMPLETED,31,82.70967741935483,82.70967741935483,137145.00851087,10.828701441259271,0.6177735829996598,0.43029847559033013,,0.020997567138993034,0.03748236139086958,0.5731926723092645,0.19780834247645876,0.007580253576467966,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.6177735829996598,1.1819320914150098,1.1743518378385418,0.18193209141500977,0.1743518378385418,0.021847298554807937,-0.10562758692751262,0.3956166849529175,12.868500548587527,0.5,0.006793578170216813,11.199809972791888
FULL,0.95,gmv,COMPLETED,31,147.0,82.70967741935483,293767.69364197494,8.996323217943148,0.0,0.0,,0.0187519860198155,0.0339513754499636,0.5642360920804053,0.144603724705147,0.0055991845945557,NOT_ESTIMATED,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.95,nominal,COMPLETED,31,82.70967741935483,82.70967741935483,137145.00851087,10.828701441259271,0.701610986743478,0.496049837536093,,0.0010213877394713577,0.152416216007288,0.08376123357638081,0.4704024426083016,0.01483625174085823,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.701610986743478,1.0227630144570665,1.0079267627162083,0.02276301445706652,0.007926762716208291,0.002914431787349736,-0.3913897014004376,0.9408048852166032,29.224146556498095,0.4999999999999999,0.011986266944440382,10.989825365167421
FULL,0.95,nominal,COMPLETED,31,147.0,82.70967741935483,293767.69364197494,8.996323217943148,0.0,0.0,1.156310959419118,0.013415678729991,0.1599633886314129,0.1639223608438092,0.4748447966988299,0.0164674565614499,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.975,box,COMPLETED,31,97.80645161290323,97.80645161290323,161400.22544432362,10.431229554475081,0.5061181989181063,0.45248850789874384,,-0.00028532529861369227,0.07297985931208953,0.032611699072506085,0.2484178332693795,0.007967080601842258,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.5061181989181063,1.0057624573904365,0.9977953767885942,0.0057624573904364595,-0.0022046232114057984,0.0007432064265291416,-0.21299893016957117,0.496835666538759,15.90506999616277,0.49999999999999994,0.007570517533057262,10.072639717741335
FULL,0.975,box,COMPLETED,31,147.0,97.80645161290323,293767.69364197494,8.996323217943148,0.0,0.0,0.6488179253758443,0.00259274340202,0.0760838680147133,0.0721213115864997,0.2488861640652706,0.0081607729201766,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.975,box_diagonal,COMPLETED,31,97.80645161290323,97.80645161290323,161400.22544432362,10.431229554475081,0.49932070627441877,0.42961605185082297,,0.010546573344060617,0.06128780690395583,0.20184657179062204,0.23784634686781347,0.008312572555992048,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.49932070627441877,1.0928368141102007,1.0845242415542087,0.09283681411020073,0.08452424155420868,0.01154472500746917,-0.1569707946645289,0.47569269373562695,15.27078081206881,0.5,0.0075484986802040275,10.667598427256543
FULL,0.975,box_diagonal,COMPLETED,31,147.0,97.80645161290323,293767.69364197494,8.996323217943148,0.0,0.0,0.5520724195644288,0.0099481126271885,0.0620955530405185,0.1904980024575985,0.2290335527475021,0.0079871574846974,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.975,ellipsoid,COMPLETED,31,97.80645161290323,97.80645161290323,161400.22544432362,10.431229554475081,0.443716663628236,0.33329502903612457,,0.026393127414250817,0.0386469788058481,0.6934312347320141,0.16184751908555803,0.006568206613692951,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.443716663628236,1.2297805820595404,1.2232123754458475,0.22978058205954044,0.2232123754458475,0.02710406969163892,-0.09992288233310187,0.32369503817111606,10.710851145133482,0.49999999999999994,0.005690692241762123,11.108567800354363
FULL,0.975,ellipsoid,COMPLETED,31,147.0,97.80645161290323,293767.69364197494,8.996323217943148,0.0,0.0,0.17435935176817793,0.0283226191349759,0.0357949719336027,0.7981928941474499,0.1381275573694181,0.0057766907607241,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.975,gmv,COMPLETED,31,97.80645161290323,97.80645161290323,161400.22544432362,10.431229554475081,0.5107869651342115,0.33083134995790375,,0.01937608405961999,0.03593409649196266,0.5520694043469917,0.17529402169456176,0.006699238300391208,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.5107869651342115,1.1667035917860848,1.1600043534856936,0.16670359178608485,0.16000435348569364,0.020135359901253258,-0.10408400180425548,0.3505880433891235,11.517641301673706,0.5,0.00598800159344336,11.152445245716544
FULL,0.975,gmv,COMPLETED,31,147.0,97.80645161290323,293767.69364197494,8.996323217943148,0.0,0.0,,0.0187519860198155,0.0339513754499636,0.5642360920804053,0.144603724705147,0.0055991845945557,NOT_ESTIMATED,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.975,nominal,COMPLETED,31,97.80645161290323,97.80645161290323,161400.22544432362,10.431229554475081,0.5247352682397938,0.3669386082985542,,0.012972028044654582,0.15554787794131875,0.161234813174996,0.46113779840258184,0.01595077835194747,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,0.5247352682397938,1.1207704859074086,1.104819707555461,0.12077048590740858,0.1048197075554611,0.01485118382680195,-0.34845673379347286,0.9222755968051637,28.668267904154906,0.5,0.012543891079614192,11.000125345165351
FULL,0.975,nominal,COMPLETED,31,147.0,97.80645161290323,293767.69364197494,8.996323217943148,0.0,0.0,1.156310959419118,0.013415678729991,0.1599633886314129,0.1639223608438092,0.4748447966988299,0.0164674565614499,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
